name,athena_score,sector,geography,stage,description,website,data_tier
"EVIIVE AG",4.1,"AI / ML",Switzerland,"Grant only","Our startup specializes in the cutting-edge field of extracellular vesicle (EV) biomarker discovery, utilizing single EV analysis and machine learning to revolutionize precision medicine. We provide a novel platform that significantly enhances the sensitivity and specificity of biomarker identification and allows healthcare professionals to diagnose conditions at an early stage, facilitating timely and personalized treatment options. We are committed to improving patient outcomes by bridging critical gaps in current diagnostic biomarkers. Our approach holds the potential to transform therapeutic strategies across a spectrum of diseases. With a focus on innovation and a strong IP strategy, we aim to lead the market in delivering robust and data-driven solutions for biomarker discovery.",http://eviive.ch,1
"Verretex SA",4.1,Climate,Switzerland,"Grant only","Upcycling reclaimed glass fiber from any recycling process to produce high quality glass fiber mats.",http://www.verretex.com,1
"AlveoliX AG",4.1,"Health / Bio",Switzerland,"Grant only","AlveoliX provides in-vitro solutions based on proprietary and unique organ-on-chip technologies aimed at improving preclinical decision-making and thus reducing drug development costs.",http://www.alveolix.com,1
"CAScination AG",4.1,"Health / Bio",Switzerland,"Grant only","CASCINATION is a Swiss medical technology company guided by the mission of creating certainty in medical outcomes. Our robotic and image-assisted solutions enable clinicians to perform reproducible and effective interventions and achieve high-quality outcomes in minimally invasive therapies for the treatment of cancer and hearing loss.",https://www.cascination.com/de/,1
"de Cavis AG",4.1,"Deep Tech",Switzerland,"Grant only","de Cavis develops highly-porous materials with outstanding mechanical and thermal properties based on a novel Platform Technology. These materials are designed to be applied at temperatures above 1600°C. The deep knowledge of this patented technology allows de Cavis to tailor the product properties according to your requirements and the needs of your particular application.  In addition, de Cavis carries out research in the area of solid-coated microcapsules in close collaboration with ETH Zürich. The unique structure of these capsules makes them interesting candidates for encapsultion and release of various chemical compounds.",http://www.decavis.com,1
"Elythor SA",4.1,"AI / ML",Switzerland,"Grant only","Energy sector inspectors use copters and fixed-wing drones to inspect the intricate energy installations often placed in harsh environments. These lack versatility in both open and confined spaces, struggle in intense winds, and face design limitations that affect data quality, mission performance, and safety, leading to increased inspection costs. Elythor builds a complete hardware and software solution to transcend challenges and excel in inspection missions. Our MVP, Morpho, is a morphing VTOL drone optimized for high wind resistance and in-flight wind energy exploitation. It features an integrated autopilot, designed to execute semi-autonomous, energy-efficient hybrid missions. Morpho offers exceptional safety, precision, speed, and range with unmatched operational flexibility.",http://www.elythor.com,1
"Binabik GmbH",4.1,"AI / ML",Switzerland,"Grant only","Binabik is building the world's first modular Physical Agentic AI OS for humanoid robots and beyond. Our robots are able to learn faster from less data, enabling up to 85% cost savings in teaching new skills to humanoid robots (data acquisition, training, and model deployment). We are combining domain expertise in robotics with a novel multi-agent Physical AI system that orchestrates specialized models, skill sets, and memory. Our team combines expertise in robot autonomy, AI, and edge-to-cloud systems. Binabik is building the brain of humanoid robots for industry, where data is scarce and expensive, while environments are highly dynamic and unstructured. Binabik enables a new level of automation with robots able to perform a wide variety of long-horizon tasks, on demand.",https://binabik.ai,1
"Onescope SA",4.1,"Health / Bio",Switzerland,"Grant only","OneScope SA is developing a unique autonomous multi-parameter stethoscope called Pneumoscope using artificial intelligence (AI) for lung sounds classification, disease severity grading, and clinical outcome prediction. Lung sounds, oxygen blood saturation,  heart rate, and temperature are simultaneously transmitted to a mobile app for analysis in real-time and recognition of respiratory sound signatures by AI algorithms. The app informs the user on the likely diagnosis, the severity of the condition and suggests appropriate management to the best care pathway. In the likes of COVID pandemics, the ability to self-diagnostic would make every subscriber an active player against a global threat. People would own a Pneumoscope in the same way they own a thermometer.",https://onescope.ch/,1
SIMORGH,4.1,SaaS,Switzerland,"Grant only","Fracture monitoring refers to the process of continuously observing and assessing the behavior, characteristics, and potential hazards associated with fractures or cracks in materials, structures, or geological formations. The current slow-paced fracture monitoring in the major target industries is prone to errors, lacks real-time capabilities, and struggles with adaptability with different scales and data types which causes risks to infrastructure safety and hampers timely decision-making. We offer full chain fracture monitoring services using our innovative algorithm and software for fracture data processing that can work for any size and type of fracture in any solid material, covering a $25 Billion market. Our team includes seismologists, software developers, and structural engineers.",https://simorgh.ch/,1
WaterScope,4.1,Other,"United Kingdom","Grant only","WaterScope's mission is to enable inclusive access to smart, easy-to-use, and reliable testing for bacterial presence in drinking water.",http://www.waterscope.org,1
"Biomex Ltd",4.1,Other,"United Kingdom","Grant only","Creating wearable rehabilitation technology for athletes post-injury and patients with osteoarthritis. The product modulates muscle activity in real-time in response to the wearer's movements. This is achieved by using algorithms to capture motion data and then optimising muscle activity through electrical stimulation techniques. Movement data can then be used to track recovery progress.",http://www.biomexlabs.co.uk,1
"Sub Salt Solutions Limited",4.1,Other,"United Kingdom","Grant only","Developed Full Waveform Inversion (FWI) technology to see under complex overburden using only legacy seismic data. S-Cube has developed a proprietary algorithmic toolbox known as X-Wave for Full Waveform Inversion.",http://www.s-cube.com,1
"Angstrom Atomic Level Structures",4.1,"Health / Bio",Switzerland,"Grant only","Helps scientist and engineers see and understand the atomic-scale structure of complex solid materials using state-of-the-art spectroscopy and computational methods",https://www.angstromstructures.com/,1
MyoLink,4.1,"Health / Bio",Switzerland,"Grant only","EMG & kinematic data for personalized gait rehab.",https://www.myolink.ch/,1
Scidentify,4.1,"Health / Bio",Switzerland,"Grant only","Identifying blood cancers, one cell at a time.",https://www.scidentify.com/,1
"AirCurve Medical",4.1,"Health / Bio",Switzerland,"Grant only","Machine vision-guided endotrachael intubation technology.",https://www.aircurve-medical.com/,1
"Juvion Life Sciences",4.1,"Health / Bio",Switzerland,"Grant only","Juvion LS develops solutions to delay the age-dependent decline in locomotor function.",https://juvionls.com/,1
Protonica,4.1,"Deep Tech",Switzerland,"Grant only","Making proton therapy accessible",https://www.protonica.ch/,2
Skaaltec,4.0,"AI / ML",Switzerland,"Grant only","developed SmartVNS, an AI-enabled wearable neurorehabilitation system that combines motion tracking with non-invasive vagus nerve stimulation to support faster upper-limb (arm/hand) functional recovery after stroke. The system is designed to be used as a standalone therapy tool and to help quantify rehabilitation progress.",https://skaaltec.com,1
UrbanEcho,4.0,"AI / ML",Switzerland,"Grant only","provides AI-powered urban digital twins to help planners design resilient and inclusive cities. It enables planners to anticipate how people respond to policy and infrastructure changes under varying conditions, supporting smarter, data-driven decisions.",https://www.urbanecho.io,1
UpCircle,4.0,"AI / ML",Switzerland,"Grant only","is a cleantech startup at the forefront of digitizing the waste industry. They leverage machine learning and AI to monitor waste streams to provide transparency and detailed analytics to all stakeholders in the value chain. By partnering with businesses and waste management companies, they aim to create a circular economy that maximizes the reuse of waste and minimizes environmental impact. Affiliation year: 2023 Affiliation connection: Prof. Dr. Marco Hutter",https://www.upcircle.ai,1
"EM Path Sàrl",4.0,"Deep Tech",Switzerland,"Grant only","Consumer Electronics, Automative, SATCOM, IoT, medical and other industry sectors must test their wireless system to assess their performance. Current available solutions are based on anechoic chambers which are Capex intensive (0.5 to several million $), slow (hours to days) and bulky (4 to 100 m3). EM Path provides a disruptive radio frequency test solution based on wave imaging which is at least 4x more compact, 100 to 10000x faster, 4x more cost-effective and scalable at the production line. The total market size is estimated to be $2.1 bn. EM Path has successfully demonstrated its real time solution, and currently running first pilot and planned 2 more. Our solution has received special interest from ESA Antenna Lab Manager and we were invited to submit for an open ITT call.",http://EMPath.ch,1
"Shape Biopharmaceuticals AG",4.0,"AI / ML",Switzerland,"Grant only","At Shape, we're pioneering a breakthrough in healthcare with proprietary engineered SHAPEnano particles, leveraging the immune system of patients to produce therapeutic antibodies directly inside their bodies. Our game-changing approach offers unparalleled advantages over traditional antibodies: just 2-3 doses yearly, no anti-drug antibodies, and substantial cost savings. With millions of underserved patients in multi-billion-dollar markets, each Shape product holds blockbuster potential. Our founders bring a wealth of R&D, manufacturing, and business acumen as repeat founders, and from biotech startups to Pharma giants. By merging expertise in immunobiology, chemistry, and medicine with cutting-edge computational design, we're creating novel immunotherapies with transformative impact.",https://shapebiopharma.com,1
"Versics AG",4.0,"Deep Tech",Switzerland,"Grant only","Data traffic has reached the bandwidth limits of communication networks. Achieving higher bandwidth requires deploying parallel systems, resulting in unsustainable energy demands for internet and cloud service providers. Versics sells components for the next generation of high-speed fibre-optic networks, which serve four market verticals: data centres, long-haul communications, harsh environments, and test & measurement.",https://versics.com/,1
"Minysa Sàrl",4.0,"Deep Tech",Switzerland,"Grant only","Smartech Microelectronics develops ultra-efficient and compact integrated GaN-based power modules (SiP) to address critical power challenges in e-mobility, drones, wireless charging, and space electronics. Today's systems face major inefficiencies, size constraints, and thermal issues in high-frequency power conversion limiting performance and lifetime in mission-critical applications. The founding team brings 100+ years of experience in analog/power semiconductors and IC design. Our architecture enables system-level integration with advanced protection and radiation-hardened features. We target markets worth >$5B, from electric vehicles and drones to aerospace and industrial IoT. Our unique GaN SiP approach delivers key advantages in performance, form factor, and reliability.",,1
"AI Medical AG",4.0,"AI / ML",Switzerland,"Grant only","AI Medical is an artificial intelligence research and deployment start-up company, specialized in applications to neuroradiology. We develop intuitive, powerful and easy-to-use diagnostic software solutions adapted for neuroradiologists. We aim to improve the quality, safety and effectiveness of patient health care through advanced software engineering. Our first product Jazz is a CE Marked, next-generation intelligent automation software, which sets a new standard in the quality of radiological image reporting. This software has been programmed to fit perfectly in the clinical workflow, increasing productivity and reducing the number of errors and integrating deep learning methods to automate most tedious tasks.",http://ai-medical.ch,1
"Future Instruments Sàrl",4.0,SaaS,Switzerland,"Grant only","We develop Web-based applications that aim to revolutionize the way people work, learn, create and communicate. Although they can be used with traditional mouse and keyboard, our applications have been designed from the ground up for touchscreen interaction, and with the goal to use screens of all sizes, from mobile devices to giant interactive walls. Our applications are based on an entirely new approach to user interfaces that make computers and devices more fun and intuitive to use than ever. They include advanced features such as multi-user interaction, remote collaboration, and seamless transfer of information from one screen to the other. The fields of applications are numerous and range from entertainment to collaborative working and learning, games, interactive presentations, and much more. Currently we develop our business following a B2B model, focusing on the collaboration and communication sectors. Our customers include schools, universities, corporate companies, SME’s, and private organisations. They use our applications to do interactive presentations, training sessions, brainstorming workshops, control displays during conferences, and for special events. Therefore, our applications are specially adapted for live use and places where people gather to work, learn, create and communicate: meeting rooms, board rooms, training rooms, classrooms, conference rooms, and exhibition centers. Just in Switzerland, the addressable market for “tools to share, present and collaborate” is estimated to CHF 45M / year in a SAAS model (Software As A Service). If we look at the market for tools to share, present, and collaborate, there are many competitors for each of those three activities taken individually. There are much less competitors that offer an integrated approach and even less with a similar approach to user interaction. We know only of three: Multitaction, Prysm, and Bluescape. However, their products are not based on web technologies and cannot be scaled on a SAAS model. Therefore, our closest competitors are certainly Google Jamboard and Microsoft Surface Hub, although those products come with dedicated screens and do not offer all the possibilities that we propose. Also, our concept goes far beyond group collaboration. Our goal is to develop an entire ecosystem around our platform, with the creation of a dedicated marketplace where third party developers will be able to sell objects and applications created on our platform, while the community will be able to share content created with the various applications.",http://future-instruments.com,1
"Dexterous Endoscopes",4.0,"Health / Bio",Switzerland,"Grant only","One in five people worldwide undergoes a minimally invasive procedure using endoscopes. Rigid devices offer stability and precision but lead to more invasive surgeries and longer recovery times. Soft devices improve visualization and access but lack stability. We tackle this challenge with variable stiffness endoscopes that reversibly switch between rigid and soft states on command. In the soft state, they navigate safely to hard-to-reach areas with a bendable tip. When stability or force is needed, such as for dissecting cancer tumors, the doctor can make the device rigid in one second with the press of a button. Our variable stiffness endoscope enables sinus and larynx surgeries 3x faster, reduces recovery time by 60%, and saves up to 13K CHF in hospital profits per procedure.",https://www.dexterousendoscopes.com/,1
SurgExplore,4.0,"AI / ML",Switzerland,"Grant only","SurgExplore is an AI-powered startup revolutionizing how surgical knowledge is captured and shared. Our mission is to shape the future of surgery through meaningful innovation that empowers healthcare professionals worldwide.",http://surgexplore.com,1
EARDREAM,4.0,"AI / ML",Switzerland,"Grant only","EARDREAM is at the forefront of Alzheimer’s research, leveraging unique biomarkers for early asymptomatic detection and innovating sleep stimulation treatments. Accessing populations carrying definitive Alzheimer's genetic mutations, the startup uses its wearable technology to acquire relevant information and develop predictive and interpretable algorithms that can detect and monitor Alzheimer’s risk in its asymptomatic phase. These insights guide tailored sleep stimulation methods, enhancing deteriorated sleep mechanisms associated with Alzheimer's progression. The multidisciplinary ETH founding team of EARDREAM includes Simon Baur, Stephanie Huwiler, Dr. Caroline Lustenberger, and Prof. Dr. Rafael Polanía.",https://eardream.ch/,1
NextGuide,4.0,"AI / ML",Switzerland,"Grant only","Traditional white canes provide only basic tactile feedback; they require physical contact with obstacles and offer minimal guidance or environmental information. This limitation can lead to accidents and additional healthcare costs for insurers. Guide dogs are effective but highly expensive (CHF 65,000 every six years, plus food and veterinary care). They also require a significant time commitment and responsibility, which is particularly challenging for elderly users. The NextGuide AI-cane addresses these issues by combining AI-based obstacle avoidance and more in the form factor of a white cane.",https://next-guide.com/,1
"Raven Robotics",4.0,"AI / ML",Switzerland,"Grant only","Industrial environments such as construction sites, power plants, and manufacturing facilities are large, congested, and dynamic, posing severe risks and causing numerous fatal and non-fatal injuries. Safety inspections are essential to prevent accidents, yet conventional methods remain costly, labour-intensive, infrequent, and error prone. Raven Robotics’ first product “InspectNet” tackles these challenges with a next-generation automated inspection system of compact, collaborative Micro Aerial Vehicles (MAVs) featuring safe autonomous navigation, self-charging, and AI-powered visual analytics for hazard detection, generating regulation-compliant safety reports tailored to the needs of different worksites.",https://ravenisystems.com/,1
Kyra,4.0,Fintech,Switzerland,"Grant only","Grid congestion and uncertainty cost European energy companies billions annually. Traders operate without visibility into transmission constraints, while renewable developers face unexpected curtailments and lengthy grid connection queues. This opacity leads to missed trading opportunities, reduced profits, and delayed investments in clean energy infrastructure. The shift to a 15-minute trading horizon demands faster decision-making that existing tools cannot support. We are Andrej and Anna, ETH scientists, experts in power markets and AI. With advisors Blazhe and Professor Giovanni, our team has 20+ years of combined experience in power systems. We offer a SaaS that forecasts grid congestion from minutes to 20 years ahead, targeting ¬7B market across 2,700 European energy companies.",https://kyra-solutions.com/,1
